"タイトル","リンクURL","イメージ画像URL（小）","イメージ画像URL（中）","カテゴリ","ジャンル","著者","出版社（発売元）","出版日（発売日）","ISBN/JAN","定価","アマゾン価格","ASIN（アマゾン商品コード）","登録日","更新日","タグ","コメント","評価","ウィッシュ","所有","お気に入り","購入日","購入金額","状態","読了日","公開・非公開"
"マグダラで眠れ (7) (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4048653849/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51hWMSGVeYL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51hWMSGVeYL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","支倉凍砂","KADOKAWA/アスキー・メディアワークス","2015-09-10","9784048653848","0","680","4048653849","2015/10/19 00:10:07","2015/11/02 05:21:11","","","0","","","","","","読了","2015-11-02","0"
"絞首台の黙示録","http://www.amazon.co.jp/exec/obidos/ASIN/4152095687/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41rYrElBvoL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41rYrElBvoL._SL160_.jpg","本・雑誌","文学・評論","神林長平","早川書房","2015-10-21","9784152095688","0","1,728","4152095687","2015/10/26 00:04:35","2015/10/26 00:04:35","","","0","","","","","","未読","","0"
"プログラミング作法","http://www.amazon.co.jp/exec/obidos/ASIN/4756136494/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/515BKZF6GXL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/515BKZF6GXL._SL160_.jpg","本・雑誌","コンピュータ・IT","ブライアン カーニハン, ロブ パイク","アスキー","2000-11","9784756136497","0","0","4756136494","2015/10/26 00:21:30","2015/10/26 00:21:30","","","0","","","","","","未読","","0"
"料理をおいしくする包丁の使い方―野菜と魚介のうまみを引き出す切り方・さばき方","http://www.amazon.co.jp/exec/obidos/ASIN/4816328491/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/5183BH0TAPL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/5183BH0TAPL._SL160_.jpg","本・雑誌","暮らし・健康・子育て","辻調理師専門学校","ナツメ社","2000-07-01","9784816328497","0","8,800","4816328491","2015/10/26 00:22:34","2015/10/26 00:22:34","","","0","","","","","","未読","","0"
"なれる!SE (13) 徹底指南?新人研修 (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4048653393/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51wjPutk65L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51wjPutk65L._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","夏海公司","KADOKAWA/アスキー・メディアワークス","2015-08-08","9784048653398","0","594","4048653393","2015/10/26 00:23:16","2015/12/13 20:31:19","","","0","","","","","","読了","2015-12-13","0"
"邪馬台国は福岡平野にあった 通説に惑わされない21の鍵 (文藝春秋企画出版)","http://www.amazon.co.jp/exec/obidos/ASIN/4160088325/mmarker-22/ref=nosim","http://ecx.images-amazon.com/images/I/51i2iZOACaL._SL75_.jpg","http://ecx.images-amazon.com/images/I/51i2iZOACaL._SL160_.jpg","本・雑誌","","高柴 昭","文藝春秋企画出版部","2015-04-30","9784160088320","2,700","2,700","4160088325","2015/11/03 00:35:27","2015/11/03 00:35:27","","","0","","","","","","未読","","0"
"ハイパフォーマンス ブラウザネットワーキング ―ネットワークアプリケーションのためのパフォーマンス最適化","http://www.amazon.co.jp/exec/obidos/ASIN/4873116767/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51x2sA8N%2BTL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51x2sA8N%2BTL._SL160_.jpg","本・雑誌","コンピュータ・IT","Ilya Grigorik","オライリージャパン","2014-05-16","9784873116761","0","4,320","4873116767","2015/11/04 01:33:44","2015/11/04 01:33:44","","","0","","","","","","未読","","0"
"シングルページWebアプリケーション ―Node.js、MongoDBを活用したJavaScript SPA","http://www.amazon.co.jp/exec/obidos/ASIN/4873116732/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51jKiiHQdaL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51jKiiHQdaL._SL160_.jpg","本・雑誌","社会・政治","Michael S. Mikowski, Josh C. Powell","オライリージャパン","2014-05-24","9784873116730","0","4,104","4873116732","2015/11/04 02:42:14","2015/11/04 02:42:14","","","0","","","","","","未読","","0"
"入門 データ構造とアルゴリズム","http://www.amazon.co.jp/exec/obidos/ASIN/4873116341/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51Qbrjb0sDL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51Qbrjb0sDL._SL160_.jpg","本・雑誌","コンピュータ・IT","Narasimha Karumanchi","オライリージャパン","2013-08-24","9784873116341","0","4,104","4873116341","2015/11/05 13:17:42","2015/11/05 13:17:42","","","0","","","","","","未読","","0"
"ソフトウェアテスト技法ドリル―テスト設計の考え方と実際","http://www.amazon.co.jp/exec/obidos/ASIN/4817193603/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/411g8H3cvML._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/411g8H3cvML._SL160_.jpg","本・雑誌","ビジネス・経済","秋山 浩一","日科技連出版社","2010-10-01","9784817193605","0","3,024","4817193603","2015/11/10 01:48:48","2015/11/10 01:48:48","","","0","","","","","","未読","","0"
"達人プログラマー―システム開発の職人から名匠への道","http://www.amazon.co.jp/exec/obidos/ASIN/4894712741/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41HTQ8ZP3AL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41HTQ8ZP3AL._SL160_.jpg","本・雑誌","コンピュータ・IT","アンドリュー ハント, デビッド トーマス","ピアソンエデュケーション","2000-11","9784894712744","0","0","4894712741","2015/11/17 23:53:17","2015/12/07 02:05:19","","","0","","","","","","読了","2015-12-07","0"
"Effective Ruby","http://www.amazon.co.jp/exec/obidos/ASIN/4798139823/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51q5p2RhCXL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51q5p2RhCXL._SL160_.jpg","本・雑誌","コンピュータ・IT","Peter J. Jones","翔泳社","2015-01-09","9784798139821","0","3,456","4798139823","2015/11/25 00:06:27","2016/01/04 05:56:10","","","0","","","","","","読了","2016-01-04","0"
"確率・統計でわかる「金融リスク」のからくり (ブルーバックス)","http://www.amazon.co.jp/exec/obidos/ASIN/4062577844/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51Z6pwpuTFL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51Z6pwpuTFL._SL160_.jpg","本・雑誌","金融・ファイナンス","吉本 佳生","講談社","2012-08-21","9784062577847","0","1,058","4062577844","2015/11/28 14:39:40","2016/06/12 19:28:03","","","0","","","","","","読了","2016-06-12","0"
"Soft Skills: The Software Developer's Life Manual","http://www.amazon.co.jp/exec/obidos/ASIN/1617292397/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51WiLueukSL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51WiLueukSL._SL160_.jpg","洋書","Nonfiction","John Z. Sonmez","Manning Pubns Co","2014-12-29","9781617292392","3,366","3,346","1617292397","2015/12/01 03:12:38","2015/12/01 03:12:38","","","0","","","","","","読中","","0"
"よくわかるメディア・スタディーズ (やわらかアカデミズム・わかるシリーズ)","http://www.amazon.co.jp/exec/obidos/ASIN/4623052060/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41P0GaV1c2L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41P0GaV1c2L._SL160_.jpg","本・雑誌","社会・政治","伊藤 守","ミネルヴァ書房","2009-03","9784623052066","0","16,102","4623052060","2015/12/05 18:11:09","2015/12/05 18:11:09","","","0","","","","","","未読","","0"
"日本の思想 (岩波新書)","http://www.amazon.co.jp/exec/obidos/ASIN/400412039X/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41PT4KVBTWL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41PT4KVBTWL._SL160_.jpg","本・雑誌","哲学・思想","丸山 真男","岩波書店","1961-11-20","9784004120391","0","842","400412039X","2015/12/05 18:11:23","2015/12/05 18:11:23","","","0","","","","","","未読","","0"
"メディア文化論 --メディアを学ぶ人のための15話 改訂版 (有斐閣アルマ)","http://www.amazon.co.jp/exec/obidos/ASIN/4641124876/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51-yAzapHtL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51-yAzapHtL._SL160_.jpg","本・雑誌","社会・政治","吉見 俊哉","有斐閣","2012-12-15","9784641124875","0","1,944","4641124876","2015/12/05 18:11:34","2015/12/05 18:11:34","","","0","","","","","","未読","","0"
"消費社会の神話と構造 普及版","http://www.amazon.co.jp/exec/obidos/ASIN/4314007001/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51aBjDREhxL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51aBjDREhxL._SL160_.jpg","本・雑誌","社会・政治","ジャン ボードリヤール","紀伊國屋書店","1995-02","9784314007009","0","17,000","4314007001","2015/12/05 18:11:42","2015/12/05 18:11:42","","","0","","","","","","未読","","0"
"アーキテクチャの生態系: 情報環境はいかに設計されてきたか (ちくま文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4480431837/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51aq9Q1ONaL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51aq9Q1ONaL._SL160_.jpg","本・雑誌","","濱野 智史","筑摩書房","2015-07-08","9784480431837","0","886","4480431837","2015/12/05 18:11:50","2016/07/04 05:39:31","","","0","","","","","","読中","","0"
"「世間」とは何か (講談社現代新書)","http://www.amazon.co.jp/exec/obidos/ASIN/4061492624/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41WB5F2X9YL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41WB5F2X9YL._SL160_.jpg","本・雑誌","政治","阿部 謹也","講談社","1995-07-20","9784061492622","0","864","4061492624","2015/12/05 18:11:58","2015/12/05 18:11:58","","","0","","","","","","未読","","0"
"諜報の天才 杉原千畝 (新潮選書)","http://www.amazon.co.jp/exec/obidos/ASIN/4106036738/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41EXyXz7pxL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41EXyXz7pxL._SL160_.jpg","本・雑誌","ノンフィクション","白石 仁章","新潮社","2011-02-01","9784106036736","0","1,296","4106036738","2015/12/07 02:28:38","2015/12/07 02:28:38","","","0","","","","","","未読","","0"
"なれる!SE (14) 世にも奇妙な?ビジネスアライアンス (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4048656627/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51YOvX31Y6L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51YOvX31Y6L._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","夏海公司","KADOKAWA/アスキー・メディアワークス","2016-01-09","9784048656627","0","616","4048656627","2016/01/11 14:06:49","2016/06/23 12:33:55","","","0","","","","","","読了","2016-06-23","0"
"実装パターン","http://www.amazon.co.jp/exec/obidos/ASIN/4894712873/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/516W8TC%2BPZL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/516W8TC%2BPZL._SL160_.jpg","本・雑誌","人文・思想","ケント・ベック, Kent Beck","ピアソンエデュケーション","2008-12-22","9784894712874","0","21,471","4894712873","2016/01/14 03:24:15","2016/01/14 03:24:15","","","0","","","","","","未読","","0"
"量子力学で生命の謎を解く","http://www.amazon.co.jp/exec/obidos/ASIN/4797384360/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51QpZOYUQtL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51QpZOYUQtL._SL160_.jpg","本・雑誌","科学・テクノロジー","ジム・アル-カリーリ, Jim Al-Khalili, ジョンジョー・マクファデン, Johnjoe McFadden","SBクリエイティブ","2015-09-16","9784797384369","0","2,592","4797384360","2016/01/14 03:24:29","2016/01/14 03:24:29","","","0","","","","","","未読","","0"
"[増補]決定版・日本史 (扶桑社文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4594070957/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/610bNugOJPL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/610bNugOJPL._SL160_.jpg","本・雑誌","日本史","渡部 昇一","扶桑社","2014-08-02","9784594070953","0","626","4594070957","2016/01/14 03:24:42","2016/01/14 03:24:42","","","0","","","","","","未読","","0"
"奴隷のしつけ方","http://www.amazon.co.jp/exec/obidos/ASIN/4778314751/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51mULi1PCmL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51mULi1PCmL._SL160_.jpg","本・雑誌","歴史・地理","マルクス シドニウス ファルクス, ジェリー トナー","太田出版","2015-05-28","9784778314750","0","1,944","4778314751","2016/01/24 22:28:00","2016/01/24 22:28:00","","","0","","","","","","未読","","0"
"炭素文明論 「元素の王者」が歴史を動かす (新潮選書)","http://www.amazon.co.jp/exec/obidos/ASIN/4106037327/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41cKL8TIJmL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41cKL8TIJmL._SL160_.jpg","本・雑誌","歴史・地理","佐藤 健太郎","新潮社","2013-07-26","9784106037320","0","1,404","4106037327","2016/01/31 02:53:58","2016/01/31 02:53:58","","","0","","","","","","未読","","0"
"スクラム実践入門 ── 成果を生み出すアジャイルな開発プロセス (WEB+DB PRESS plus)","http://www.amazon.co.jp/exec/obidos/ASIN/4774172367/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51ABflXRwZL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51ABflXRwZL._SL160_.jpg","本・雑誌","コンピュータ・IT","貝瀬 岳志, 原田 勝信, 和島 史典, 栗林 健太郎, 柴田 博志, 家永 英治","技術評論社","2015-03-18","9784774172361","0","2,786","4774172367","2016/02/12 02:49:48","2016/02/12 02:49:48","","","0","","","","","","未読","","0"
"SCRUM BOOT CAMP THE BOOK","http://www.amazon.co.jp/exec/obidos/ASIN/4798129712/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51q3GMM3rjL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51q3GMM3rjL._SL160_.jpg","本・雑誌","ビジネス・経済","西村 直人, 永瀬 美穂, 吉羽 龍太郎","翔泳社","2013-02-13","9784798129716","0","2,592","4798129712","2016/02/12 02:50:05","2016/06/22 05:32:28","","","0","","","","","","読了","2016-06-22","0"
"Write Great Code〈Vol.1〉ハードウェアを知り、ソフトウェアを書く","http://www.amazon.co.jp/exec/obidos/ASIN/4839918201/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/61J5PGR9KGL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/61J5PGR9KGL._SL160_.jpg","本・雑誌","コンピュータ・IT","Randall Hyde","毎日コミュニケーションズ","2005-12-01","9784839918200","0","14,997","4839918201","2016/02/13 03:39:15","2016/02/13 03:39:15","","","0","","","","","","未読","","0"
"GNUソフトウェアプログラミング ―オープンソース開発の原点","http://www.amazon.co.jp/exec/obidos/ASIN/4900900206/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51978MWQJRL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51978MWQJRL._SL160_.jpg","本・雑誌","コンピュータ・IT","Mike Loukides, Andy Oram","オライリー・ジャパン","1999-02-01","9784900900202","0","18,389","4900900206","2016/02/13 03:39:32","2016/02/13 03:39:32","","","0","","","","","","未読","","0"
"UNIXプログラミングの道具箱―プロフェッショナルが明かす研ぎ澄まされたツール群の使いこなし","http://www.amazon.co.jp/exec/obidos/ASIN/4774120391/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51X5N99RQ0L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51X5N99RQ0L._SL160_.jpg","本・雑誌","コンピュータ・IT","工藤 智行","技術評論社","2004-06","9784774120393","0","0","4774120391","2016/02/13 03:39:47","2016/02/13 03:39:47","","","0","","","","","","未読","","0"
"ふつうのLinuxプログラミング Linuxの仕組みから学べるgccプログラミングの王道","http://www.amazon.co.jp/exec/obidos/ASIN/4797328355/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41KHt9YEIyL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41KHt9YEIyL._SL160_.jpg","本・雑誌","コンピュータ・IT","青木 峰郎","ソフトバンククリエイティブ","2005-07-27","9784797328356","0","11,007","4797328355","2016/02/13 03:40:00","2016/02/13 03:40:00","","","0","","","","","","未読","","0"
"人体600万年史(上):科学が明かす進化・健康・疾病","http://www.amazon.co.jp/exec/obidos/ASIN/4152095652/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51PVeiAfiXL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51PVeiAfiXL._SL160_.jpg","本・雑誌","科学・テクノロジー","ダニエル・E・ リーバーマン","早川書房","2015-09-18","9784152095657","0","2,376","4152095652","2016/02/13 03:40:54","2016/02/13 03:40:54","","","0","","","","","","未読","","0"
"黒字浮上!最終指令―出向社長奮斗の記録","http://www.amazon.co.jp/exec/obidos/ASIN/4478331065/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41ZR79E01RL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41ZR79E01RL._SL160_.jpg","本・雑誌","文学・評論","猿谷 雅治","ダイヤモンド社","2003-11","9784478331064","0","1,728","4478331065","2016/02/13 03:41:08","2016/02/13 03:41:08","","","0","","","","","","未読","","0"
"エクサスケールの衝撃","http://www.amazon.co.jp/exec/obidos/ASIN/4569818927/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51HyWIZWayL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51HyWIZWayL._SL160_.jpg","本・雑誌","科学・テクノロジー","齊藤 元章","PHP研究所","2014-12-18","9784569818924","0","5,400","4569818927","2016/02/16 22:24:31","2016/02/16 22:24:31","","","0","","","","","","未読","","0"
"君と時計と嘘の塔 第一幕 (講談社タイガ)","http://www.amazon.co.jp/exec/obidos/ASIN/4062940051/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/610SCNsLoHL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/610SCNsLoHL._SL160_.jpg","本・雑誌","ミステリー・サスペンス・ハードボイルド","綾崎 隼, bookwall","講談社","2015-11-19","9784062940054","0","713","4062940051","2016/03/12 20:49:00","2016/03/12 20:49:00","","","0","","","","","","未読","","0"
"風の歌を聴け (講談社文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4062748703/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/21JXNBHKBAL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/21JXNBHKBAL._SL160_.jpg","本・雑誌","文芸作品","村上 春樹","講談社","2004-09-15","9784062748704","0","421","4062748703","2016/03/18 01:10:25","2016/03/18 01:10:25","","","0","","","","","","読了","2016-03-18","0"
"CODE COMPLETE 第2版 上 完全なプログラミングを目指して","http://www.amazon.co.jp/exec/obidos/ASIN/489100455X/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51E1DYKHW7L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51E1DYKHW7L._SL160_.jpg","本・雑誌","コンピュータ・IT","スティーブ マコネル","日経BP社","2005-03-26","9784891004552","0","6,588","489100455X","2016/03/18 01:12:16","2016/03/18 01:12:16","","","0","","","","","","未読","","0"
"ブギーポップ・アンチテーゼ オルタナティヴ・エゴの乱逆 (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/404865831X/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51PaUh6etvL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51PaUh6etvL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","上遠野 浩平","KADOKAWA","2016-03-10","9784048658317","0","615","404865831X","2016/03/18 02:51:45","2016/03/18 02:51:45","","","0","","","","","","読了","2016-03-18","0"
"数学教室 πの焼き方: 日常生活の数学的思考","http://www.amazon.co.jp/exec/obidos/ASIN/4562052856/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51m6DWPrSZL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51m6DWPrSZL._SL160_.jpg","本・雑誌","","ユージニア チェン","原書房","2016-02-18","9784562052851","0","2,700","4562052856","2016/03/21 22:52:05","2016/06/22 05:32:38","","","0","","","","","","読了","2016-06-22","0"
"タイム・クラッシュ (上)―銀河冒険紀  (ソノラマ文庫 (824))","http://www.amazon.co.jp/exec/obidos/ASIN/425776824X/mmarker-22/ref=nosim","","","本・雑誌","","岡本 賢一","朝日ソノラマ","1997-12","9784257768241","529","0","425776824X","2016/03/21 22:52:59","2016/03/21 22:52:59","","","0","","","","","","未読","","0"
"トヨタの強さの秘密 日本人の知らない日本最大のグローバル企業 (講談社現代新書)","http://www.amazon.co.jp/exec/obidos/ASIN/4062883627/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51N2cPsSbiL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51N2cPsSbiL._SL160_.jpg","本・雑誌","産業研究","酒井 崇男","講談社","2016-03-16","9784062883627","0","950","4062883627","2016/03/25 03:09:40","2016/03/25 03:09:40","","","0","","","","","","未読","","0"
"裸はいつから恥ずかしくなったか―日本人の羞恥心 (新潮選書)","http://www.amazon.co.jp/exec/obidos/ASIN/4106036614/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41iMyO4WbGL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41iMyO4WbGL._SL160_.jpg","本・雑誌","人文・思想","中野 明","新潮社","2010-05","9784106036613","0","12,187","4106036614","2016/03/28 04:51:17","2016/03/28 04:51:17","","","0","","","","","","未読","","0"
"組み込みソフトへの数理的アプローチ―形式手法によるソフトウェアの仕様記述と検証 (COMPUTER TECHNOLOGY)","http://www.amazon.co.jp/exec/obidos/ASIN/4789838080/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51162zQuVPL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51162zQuVPL._SL160_.jpg","本・雑誌","科学・テクノロジー","藤倉 俊幸","CQ出版","2012-04-01","9784789838085","0","9,430","4789838080","2016/03/28 05:21:55","2016/03/28 05:21:55","","","0","","","","","","未読","","0"
"マルドゥック・アノニマス 1 (ハヤカワ文庫JA)","http://www.amazon.co.jp/exec/obidos/ASIN/4150312230/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51IvHFWSf-L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51IvHFWSf-L._SL160_.jpg","本・雑誌","SF・ホラー・ファンタジー","冲方丁","早川書房","2016-03-24","9784150312237","0","799","4150312230","2016/04/04 02:17:39","2016/04/04 02:17:39","","","0","","","","","","読了","2016-04-04","0"
"古代日本語母音論―上代特殊仮名遣の再解釈 (ひつじ研究叢書 (言語編 第4巻))","http://www.amazon.co.jp/exec/obidos/ASIN/4938669315/mmarker-22/ref=nosim","http://ecx.images-amazon.com/images/I/410GPF6B20L._SL75_.jpg","http://ecx.images-amazon.com/images/I/410GPF6B20L._SL160_.jpg","本・雑誌","人文・思想","松本 克己","ひつじ書房","1995-01","9784938669317","9,720","0","4938669315","2016/04/23 17:16:15","2016/04/23 17:16:15","","古代日本語母音論―上代特殊仮名遣の再解釈","0","","","","","","未読","","0"
"翻訳できない世界のことば","http://www.amazon.co.jp/exec/obidos/ASIN/4422701045/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/613M-Ku1rOL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/613M-Ku1rOL._SL160_.jpg","本・雑誌","人文・思想","エラ・フランシス・サンダース","創元社","2016-04-11","9784422701042","0","1,728","4422701045","2016/04/25 01:42:44","2016/08/12 11:49:17","","","0","","","","","","読了","2016-08-12","0"
"マグダラで眠れ (8) (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4048657518/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/61MtZfITL6L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/61MtZfITL6L._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","支倉凍砂","KADOKAWA/アスキー・メディアワークス","2016-02-10","9784048657518","0","616","4048657518","2016/04/25 01:43:32","2016/04/25 01:43:32","","","0","","","","","","読了","2016-04-25","0"
"北の海〈下〉 (新潮文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4101063389/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/516X1JF8V3L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/516X1JF8V3L._SL160_.jpg","本・雑誌","文芸作品","井上 靖","新潮社","2003-08-31","9784101063386","0","637","4101063389","2016/05/01 03:33:06","2016/05/01 03:33:06","","","0","","","","","","読了","2016-05-01","0"
"新約 とある魔術の禁書目録 (12) (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4048693336/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/61%2BJLj1IvpL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/61%2BJLj1IvpL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","鎌池和馬","KADOKAWA/アスキー・メディアワークス","2015-03-10","9784048693332","0","724","4048693336","2016/05/02 15:22:34","2016/05/02 15:22:34","","","0","","","","","","読了","","0"
"10年戦えるデータ分析入門 SQLを武器にデータ活用時代を生き抜く (Informatics &IDEA)","http://www.amazon.co.jp/exec/obidos/ASIN/4797376279/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/513Kq0DFpnL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/513Kq0DFpnL._SL160_.jpg","本・雑誌","コンピュータ・IT","青木 峰郎","SBクリエイティブ","2015-06-30","9784797376272","0","2,592","4797376279","2016/05/06 23:09:05","2016/05/06 23:09:05","","","0","","","","","","未読","","0"
"ラテン語小文典 (1957年)","http://www.amazon.co.jp/exec/obidos/ASIN/B000JAY37W/mmarker-22/ref=nosim","","","本・雑誌","古書","呉 茂一, 泉 木吉","岩波書店","1957","","0","0","B000JAY37W","2016/05/06 23:12:31","2016/05/06 23:12:31","","","0","","","","","","未読","","0"
